SUBINVENTORY,REGISTER_ID,STD_RECEIPT_BANK_ACCOUNT_NAME,STD_RECEIPT_BANK_ACCOUNT_NUMBER,STD_RECEIPT_SOURCE,MISC_RECEIPT_BANK_ACCOUNT_NAME,MISC_RECEIPT_BANK_ACCOUNT_NUMBER,MISC_RECEIPT_SOURCE
LELEMALL,515,Cash LELEMALL,Cash LELEMALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank LELEMALL,AL Jazeerah Bank LELEMALL,VENDHQ_REGISTERS.BANK_ACCOUNT
HIRAAJED,516,Cash HIRAAJED,Cash HIRAAJED,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank HIRAAJED,AL Jazeerah Bank HIRAAJED,VENDHQ_REGISTERS.BANK_ACCOUNT
MTHNBOTHAM,518,Cash MTHNBOTHAM,Cash MTHNBOTHAM,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MTHNBOTHAM,AL Jazeerah Bank MTHNBOTHAM,VENDHQ_REGISTERS.BANK_ACCOUNT
KHOBRRASHD,519,Cash KHOBRRASHD,Cash KHOBRRASHD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHOBRRASHD,AL Jazeerah Bank KHOBRRASHD,VENDHQ_REGISTERS.BANK_ACCOUNT
EHSAOTHAIM,520,Cash EHSAOTHAIM,Cash EHSAOTHAIM,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank EHSAOTHAIM,AL Jazeerah Bank EHSAOTHAIM,VENDHQ_REGISTERS.BANK_ACCOUNT
SHUBAILYML,521,Cash SHUBAILYML,Cash SHUBAILYML,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank SHUBAILYML,AL Jazeerah Bank SHUBAILYML,VENDHQ_REGISTERS.BANK_ACCOUNT
DMMMARINA,522,Cash DMMMARINA,Cash DMMMARINA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank DMMMARINA,AL Jazeerah Bank DMMMARINA,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDMNDARIN,523,Cash JEDMNDARIN,Cash JEDMNDARIN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDMNDARIN,AL Jazeerah Bank JEDMNDARIN,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDWAHBLVD,524,Cash JEDWAHBLVD,Cash JEDWAHBLVD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDWAHBLVD,AL Jazeerah Bank JEDWAHBLVD,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKHIJZMLL,525,Cash MAKHIJZMLL,Cash MAKHIJZMLL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKHIJZMLL,AL Jazeerah Bank MAKHIJZMLL,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDMRWACTR,526,Cash JEDMRWACTR,Cash JEDMRWACTR,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDMRWACTR,AL Jazeerah Bank JEDMRWACTR,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKDYAFAML,527,Cash MAKDYAFAML,Cash MAKDYAFAML,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKDYAFAML,AL Jazeerah Bank MAKDYAFAML,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDMUSADIA,528,Cash JEDMUSADIA,Cash JEDMUSADIA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDMUSADIA,AL Jazeerah Bank JEDMUSADIA,VENDHQ_REGISTERS.BANK_ACCOUNT
RASSBULVRD,529,Cash RASSBULVRD,Cash RASSBULVRD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RASSBULVRD,AL Jazeerah Bank RASSBULVRD,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDMARINA,547,Cash RYDMARINA,Cash RYDMARINA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RYDMARINA,AL Jazeerah Bank RYDMARINA,VENDHQ_REGISTERS.BANK_ACCOUNT
ARARWOMNMT,558,Cash ARARWOMNMT,Cash ARARWOMNMT,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ARARWOMNMT,AL Jazeerah Bank ARARWOMNMT,VENDHQ_REGISTERS.BANK_ACCOUNT
SKAKAPLAZA,561,Cash SKAKAPLAZA,Cash SKAKAPLAZA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank SKAKAPLAZA,AL Jazeerah Bank SKAKAPLAZA,VENDHQ_REGISTERS.BANK_ACCOUNT
SKAKASHLHB,562,Cash SKAKASHLHB,Cash SKAKASHLHB,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank SKAKASHLHB,AL Jazeerah Bank SKAKASHLHB,VENDHQ_REGISTERS.BANK_ACCOUNT
SBTALYABVD,571,Cash SBTALYABVD,Cash SBTALYABVD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank SBTALYABVD,AL Jazeerah Bank SBTALYABVD,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKADANPLZ,573,Cash MAKADANPLZ,Cash MAKADANPLZ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKADANPLZ,AL Jazeerah Bank MAKADANPLZ,VENDHQ_REGISTERS.BANK_ACCOUNT
NJRANCFRNT,576,Cash NJRANCFRNT,Cash NJRANCFRNT,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank NJRANCFRNT,AL Jazeerah Bank NJRANCFRNT,VENDHQ_REGISTERS.BANK_ACCOUNT
