REGISTER_ID,OUTLET_ID,REGISTER_NAME,CASH_ACCOUNT,CASH_ACCOUNT_ID,BANK_ACCOUNT,BANK_ACCOUNT_ID,VERSION,DELETED_AT,REGION,GIFT_ACCOUNT,GIFT_ACCOUNT_ID
392,233,NAKHDMM,CashNAKHDMM,3E+14,AL Jazeerah Bank NAKHDMM,3E+14,,,SA,,
393,206,Hall 4.2,Cash Account Hall 4,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
394,207,Hall 8.2,Cash Account Hall 8,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
395,235,AJAWEED,CashAJAWEED,3E+14,AL Jazeerah BankAJAWEED,3E+14,,,SA,,
396,236,RYDAVENUE,CashRYDAVENUE,3E+14,AL Jazeerah BankRYDAVENUE,3E+14,,,SA,,
397,237,RYDPARK,CashRYDPARK,3E+14,AL Jazeerah BankRYDPARK,3E+14,,,SA,,
398,238,OBHURMALL,CashOBHURMALL,3E+14,AL Jazeerah BankOBHURMALL,3E+14,,,SA,,
401,239,HAMDANIIYA,CashHAMDANIIYA,3E+14,AL Jazeerah BankHAMDANIIYA,3E+14,,,SA,,
399,240,ALKOUTMALL,Cash Account ALKOUTMALL,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
400,241,GATEMALL,Cash Account GATEMALL,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
407,284,HIJABMALL,Cash HIJABMALL,3E+14,AL Jazeerah HIJABMALL,3E+14,,,SA,,
408,285,HILTONMAK,Cash HILTONMAK,3E+14,AL Jazeerah HILTONMAK,3E+14,,,SA,,
409,265,KHURAISSQ2,Cash KHURAISSQ,3E+14,AL Jazeerah KHURAISSQ,3E+14,,,SA,,
410,266,PRNCSLRD,Cash PRNCSLRD,3E+14,AL Jazeerah PRNCSLRD,3E+14,,,SA,,
411,267,RIYADHDST,Cash RIYADHDST,3E+14,AL Jazeerah RIYADHDST,3E+14,,,SA,,
