ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,STD_RCPT_NO,Address_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
682,Hungerstation,45014,31074,210040,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,GRMALLHAIL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0113
685,Hungerstation,45014,31074,210040,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RABWA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0113
688,Hungerstation,45014,31074,210040,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ARARMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0113
691,Hungerstation,45014,31074,210040,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA02,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0113
695,Hungerstation,45014,31091,210051,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DANA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1701
696,Hungerstation,45014,31070,210066,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,FLAMINGO,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0205
697,Hungerstation,45014,31089,210059,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,GRANADA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0110
698,Hungerstation,45014,31071,210069,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAIFAA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0209
699,Hungerstation,45014,31078,210033,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,JURIMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1001
700,Hungerstation,45014,31085,210036,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KADI,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1301
701,Hungerstation,45014,31056,210039,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHERAIS,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0107
702,Hungerstation,45014,31053,210065,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAHMAL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0204
703,Hungerstation,45014,31086,210038,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKKAH,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1401
704,Hungerstation,45014,31090,210061,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDAD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0103
